Snack Name,Brand,Snack Category,Snack Type,Plant-Based,Units Sold (in Millions),Revenue (in Millions)
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.66,7.69
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.66,11.45
Snickers,Mars,Chocolate,Sweet,No,12.71,11.15
Snickers,Mars,Chocolate,Sweet,No,13.92,12.55
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.91,14.81
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.4,15.46
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.43,5.71
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.87,11.87
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.18,9.7
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.76,15.81
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.53,10.56
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.49,10.69
Snickers,Mars,Chocolate,Sweet,No,12.52,11.53
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.47,12.18
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.14,11.55
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.98,10.06
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,14.27,12.24
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.93,10.01
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.96,18.67
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.65,6.2
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.42,9.87
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.46,9.97
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.78,8.41
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.9,6.47
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,18.76,17.01
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.87,9.03
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.94,12.45
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.83,17.98
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.79,5.2
Snickers,Mars,Chocolate,Sweet,No,14.4,13.28
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.76,8.01
Snickers,Mars,Chocolate,Sweet,No,7.35,6.37
Snickers,Mars,Chocolate,Sweet,No,14.16,12.86
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.57,5.53
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.56,5.57
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.2,6.5
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.08,11.91
Snickers,Mars,Chocolate,Sweet,No,13.22,11.64
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.48,8.25
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,16.07,14.08
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,16.18,13.65
Snickers,Mars,Chocolate,Sweet,No,10.06,8.55
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.86,8.47
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.65,11.57
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.53,8.77
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.6,11.84
Snickers,Mars,Chocolate,Sweet,No,13.61,10.29
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.46,9.84
Snickers,Mars,Chocolate,Sweet,No,8.92,8.83
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.29,9.24
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,6.77,7.37
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.78,12.18
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.15,9.9
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.58,6.45
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.27,7.94
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.01,11.87
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.47,10.0
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.72,7.99
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.41,9.26
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.42,8.14
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.45,18.09
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,4.79,4.49
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,4.99,4.32
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,16.95,22.47
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.26,8.14
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,7.28,6.11
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.92,11.65
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.32,13.66
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,15.07,20.32
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.43,19.34
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.79,8.75
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.72,9.16
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.78,9.4
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.08,9.72
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.11,4.68
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,18.57,21.93
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.27,10.36
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.32,10.44
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.27,7.51
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.65,12.96
Snickers,Mars,Chocolate,Sweet,No,8.08,6.89
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.85,15.54
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.31,8.77
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.93,12.95
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.95,8.69
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.29,15.17
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.19,8.12
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,13.14,10.47
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.67,6.71
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.26,11.57
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,4.34,3.92
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.35,8.76
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.42,10.77
Snickers,Mars,Chocolate,Sweet,No,11.91,10.33
Snickers,Mars,Chocolate,Sweet,No,12.17,10.46
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.24,15.72
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,15.47,20.75
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.52,9.57
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.52,7.24
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.46,17.67
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.49,9.6
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.22,8.39
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.6,7.96
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.84,14.87
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.51,14.53
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.79,11.8
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.84,9.3
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.11,7.31
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.87,10.41
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.53,15.68
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.05,16.03
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.08,8.92
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,4.72,4.21
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,14.18,15.61
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.13,10.88
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.03,11.85
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.55,11.8
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.1,9.84
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.81,10.42
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.77,14.93
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.08,11.38
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.49,5.4
Snickers,Mars,Chocolate,Sweet,No,11.36,10.81
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.43,7.7
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.12,10.11
Snickers,Mars,Chocolate,Sweet,No,7.78,7.09
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,5.45,4.45
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.77,7.06
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.62,10.65
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.35,6.8
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.22,10.2
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.13,8.65
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.45,11.97
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.89,15.02
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.69,9.59
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.11,14.64
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.32,14.29
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,7.34,8.48
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.78,17.08
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.69,8.31
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.36,11.69
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.33,7.87
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.82,9.35
Snickers,Mars,Chocolate,Sweet,No,10.45,9.92
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.82,11.57
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.87,16.13
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.47,17.17
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.76,15.44
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.34,9.47
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,6.7,9.01
Snickers,Mars,Chocolate,Sweet,No,11.83,9.78
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,5.18,4.63
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.7,10.45
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.08,16.1
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.74,8.21
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.76,8.01
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.18,9.83
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.99,6.57
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.68,7.09
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.01,6.22
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.78,15.86
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,16.49,13.5
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.2,13.09
Snickers,Mars,Chocolate,Sweet,No,9.95,9.17
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.69,7.02
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.61,14.05
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.94,8.22
Snickers,Mars,Chocolate,Sweet,No,15.31,13.4
Snickers,Mars,Chocolate,Sweet,No,5.36,4.74
Snickers,Mars,Chocolate,Sweet,No,7.63,6.63
Snickers,Mars,Chocolate,Sweet,No,11.71,10.05
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,5.84,4.82
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,12.48,11.89
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.15,9.83
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.17,6.26
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.99,7.02
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.92,5.0
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.7,18.39
Snickers,Mars,Chocolate,Sweet,No,8.66,7.28
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.91,11.79
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.06,12.84
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.46,8.49
Snickers,Mars,Chocolate,Sweet,No,6.55,6.06
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,5.48,5.75
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.21,9.06
Snickers,Mars,Chocolate,Sweet,No,10.33,9.17
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.45,9.34
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.14,10.5
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.86,10.76
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.11,5.8
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.89,9.06
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.93,13.93
Snickers,Mars,Chocolate,Sweet,No,9.24,7.41
Snickers,Mars,Chocolate,Sweet,No,9.74,9.17
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.27,8.24
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.5,11.39
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.32,8.31
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.68,7.57
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,9.36,8.2
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.09,11.97
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.89,12.34
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,11.23,12.52
Snickers,Mars,Chocolate,Sweet,No,11.07,9.14
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.66,12.21
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.8,13.93
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.69,8.76
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.71,5.65
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.1,13.8
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.45,7.39
Snickers,Mars,Chocolate,Sweet,No,10.02,9.19
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.98,13.76
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.44,16.19
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,13.23,11.05
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.18,9.45
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.05,8.87
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.29,12.1
Snickers,Mars,Chocolate,Sweet,No,7.58,6.56
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,6.8,7.03
Snickers,Mars,Chocolate,Sweet,No,11.4,10.85
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,8.75,10.94
Snickers,Mars,Chocolate,Sweet,No,9.9,8.57
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.29,6.34
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.93,17.03
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.66,14.29
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,4.71,4.06
Snickers,Mars,Chocolate,Sweet,No,11.25,9.93
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.19,10.05
Snickers,Mars,Chocolate,Sweet,No,6.9,5.76
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.27,8.27
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.37,7.15
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.07,7.74
Snickers,Mars,Chocolate,Sweet,No,12.96,11.46
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,18.34,16.63
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.53,18.09
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.61,6.49
Snickers,Mars,Chocolate,Sweet,No,8.42,7.34
Snickers,Mars,Chocolate,Sweet,No,9.21,7.92
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.41,11.03
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.78,9.32
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.13,16.4
Snickers,Mars,Chocolate,Sweet,No,8.83,8.56
Snickers,Mars,Chocolate,Sweet,No,11.64,10.6
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.98,10.94
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,7.94,8.48
Snickers,Mars,Chocolate,Sweet,No,13.72,13.66
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,14.27,11.94
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.21,13.01
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.63,13.08
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,15.03,21.47
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.03,14.75
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.04,14.73
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.15,4.63
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.28,7.86
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.27,11.33
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.05,8.29
Snickers,Mars,Chocolate,Sweet,No,10.14,9.23
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.55,11.54
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.45,14.99
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,9.56,12.85
Snickers,Mars,Chocolate,Sweet,No,13.3,10.88
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,9.87,7.26
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.84,11.25
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.61,15.85
Snickers,Mars,Chocolate,Sweet,No,10.96,9.51
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.61,6.04
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.17,19.42
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.88,6.48
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.2,15.6
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.58,10.84
Snickers,Mars,Chocolate,Sweet,No,9.89,8.99
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.81,10.8
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.48,14.38
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.5,15.05
Snickers,Mars,Chocolate,Sweet,No,12.89,11.53
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.56,9.81
Snickers,Mars,Chocolate,Sweet,No,9.13,7.85
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,9.75,9.69
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,5.93,5.26
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.71,11.67
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,14.61,22.39
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,13.5,18.55
Snickers,Mars,Chocolate,Sweet,No,12.42,11.42
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.02,7.86
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.34,11.45
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,15.86,19.58
Snickers,Mars,Chocolate,Sweet,No,10.47,9.5
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,10.28,12.36
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.12,11.19
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,13.86,14.42
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.41,14.9
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,4.9,4.7
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.47,7.11
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.87,7.25
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.11,5.78
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.86,15.63
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.49,7.54
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.16,8.21
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.0,8.08
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,5.8,4.99
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.69,8.44
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.28,8.29
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,12.84,12.8
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.13,7.85
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,7.75,7.18
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.28,7.17
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.7,8.84
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,11.28,9.14
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,10.81,9.2
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,10.1,12.76
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.12,7.03
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.37,13.41
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,15.2,19.98
Snickers,Mars,Chocolate,Sweet,No,5.71,4.96
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.14,9.02
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,12.56,9.78
Snickers,Mars,Chocolate,Sweet,No,8.25,7.32
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,10.05,8.37
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,14.24,11.85
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.11,10.85
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.73,9.01
Snickers,Mars,Chocolate,Sweet,No,13.65,12.11
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.44,10.9
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.8,9.28
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,6.87,7.47
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,14.41,12.09
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.51,9.87
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.6,7.02
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,12.52,10.57
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.5,5.67
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,6.42,6.04
Snickers,Mars,Chocolate,Sweet,No,11.04,10.78
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,8.54,8.56
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,10.53,10.41
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,17.47,21.63
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,8.15,7.27
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.58,7.49
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,9.89,11.23
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.8,12.16
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,10.97,9.27
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.7,11.37
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,7.28,8.49
Snickers,Mars,Chocolate,Sweet,No,6.86,6.67
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,11.27,15.21
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,7.35,6.78
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,8.74,7.59
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.18,8.46
Snickers,Mars,Chocolate,Sweet,No,9.35,8.22
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,11.21,9.35
Hula Hoops Original,KP Snacks,Crisps,Savory,Yes,6.09,6.31
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,12.53,15.1
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.18,15.41
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.09,10.3
Snickers,Mars,Chocolate,Sweet,No,8.57,6.88
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,8.03,7.38
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,13.33,16.9
Snickers,Mars,Chocolate,Sweet,No,12.25,11.96
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.85,13.51
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,13.71,11.2
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,15.55,12.2
Nakd Cocoa Orange Bar,Nakd,Snack Bar,Sweet,Yes,11.67,10.58
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,8.92,11.62
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.32,16.74
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.45,13.35
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.58,13.69
McVitie's Digestives Original,McVitie's,Biscuits,Sweet,No,11.32,13.11
Snickers,Mars,Chocolate,Sweet,No,10.01,8.48
Snickers,Mars,Chocolate,Sweet,No,8.1,6.54
Cadbury Dairy Milk,Cadbury,Chocolate,Sweet,No,12.66,17.99
Walkers Ready Salted,Walkers,Crisps,Savory,Yes,16.1,13.29
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,13.14,10.99
Walkers Cheese & Onion,Walkers,Crisps,Savory,No,9.28,8.09
